"Name","Platform","Genre","Publisher","Developer","Rating","Global_Sales","Year_of_Release","Critic_Score","Critic_Count","User_Score","User_Count"
"Air Conflicts: Secret Wars","PC","Simulation","bitComposer Games","Games Farm","T","0.03","2011","65","5","6.4","24"
"Ys: The Oath in Felghana","PSP","Role-Playing","Falcom Corporation","Falcom","T","0.15","2010","80","25","8.3","57"
"Marvel: Ultimate Alliance 2","PS3","Role-Playing","Activision","Vicarious Visions","T","0.73","2009","74","48","7.3","51"
"Ceville","PC","Action","Kalypso Media","Boxed Dream","E","0.02","2009","73","17","8.2","21"
"Harvest Moon: Magical Melody","Wii","Simulation","Rising Star Games","Marvelous Entertainm","E","0.29","2008","69","14","8.8","17"
"Looney Tunes: Acme Arsenal","Wii","Action","Warner Bros. Interactive En","Red Tribe","E10+","0.23","2007","27","7","5.1","14"
"The Witcher 2: Assassins of Kings","X360","Action","Namco Bandai Games","CD Projekt Red Studi","M","0.9","2012","88","82","8.3","818"
"Green Day: Rock Band","X360","Misc","MTV Games","Harmonix Music Syste","T","0.41","2010","75","54","6.6","32"
"Armored Core 2: Another Age","PS2","Simulation","Metro 3D","From Software","T","0.41","2001","75","16","8.8","30"
"StarCraft II: Wings of Liberty","PC","Strategy","Activision","Blizzard Entertainme","T","4.84","2010","93","82","8.2","3052"
"Jeremy McGrath Supercross World","GC","Racing","Acclaim Entertainment","Acclaim","E","0.12","2002","36","14","5.6","5"
"Burnout Paradise","X360","Racing","Electronic Arts","Criterion Games","E10+","1.35","2008","88","68","6.9","279"
"Glory Days 2","DS","Strategy","Ghostlight","odenis studio","E10+","0.09","2007","73","28","7.3","6"
"Dog's Life","PS2","Adventure","Sony Computer Entertainment","Frontier Development","T","0.42","2003","64","19","3.1","157"
"1 vs. 100","DS","Misc","DSI Games","ECI","E","0.08","2008","38","5","3.2","5"
"Rez","PS2","Shooter","Sony Computer Entertainment","UGA","E","0.05","2001","78","34","8.3","28"
"Mystic Heroes","GC","Action","Tecmo Koei","Koei","T","0.09","2002","67","13","8.5","26"
"Peggle Nights","PC","Puzzle","PopCap Games","PopCap","E","0.02","2008","76","15","8.1","24"
"Inkheart","DS","Adventure","DreamCatcher Interactive","Dreamcatcher","E","0.02","2009","39","8","2.2","5"
"Peter Jackson's King Kong: The Offici","PS2","Action","Ubisoft","Ubisoft Montpellier","T","2.04","2005","82","41","8.2","68"
"WWE SmackDown vs Raw 2008","PS3","Fighting","THQ","Yuke's","T","1.33","2007","74","27","7.3","41"
"Wall-E","PS2","Platform","THQ","Asobo Studio","E","0.75","2008","67","8","8.4","9"
"Spawn: Armageddon","GC","Action","Electronic Arts","Point of View","M","0.07","2003","61","19","7.2","9"
"Zone of the Enders","PS2","Shooter","Konami Digital Entertainmen","KCEJ","M","0.75","2001","78","21","7.4","49"
"Second Sight","PS2","Adventure","Codemasters","Free Radical Design","T","0.14","2004","76","48","8","23"
"Assassin's Creed: Bloodlines","PSP","Action","Ubisoft","Griptonite Games","M","1.23","2009","63","38","7.2","69"
"Cursed Mountain","Wii","Adventure","Deep Silver","Deep Silver, Sproing","M","0.21","2009","67","51","7.6","33"
"The Warriors","XB","Action","Take-Two Interactive","Rockstar Toronto","M","0.28","2005","85","55","8.2","21"
"Fight Night Round 3","XB","Fighting","Electronic Arts","EA Chicago","T","0.33","2006","83","32","9","21"
"Naruto: Clash of Ninja Revolution","Wii","Fighting","Tomy Corporation","8ing/Raizing","T","1.01","2007","74","23","8","27"
"Corvette","PS2","Racing","TDK Mediactive","Steel Monkeys","E","1.33","2004","57","15","6.5","21"
"ScrapLand","XB","Action","Deep Silver","Mercury Steam","T","0.02","2005","73","20","7.4","5"
"DiRT 3","PC","Racing","Codemasters","Codemasters","T","0.15","2011","86","23","6.9","433"
"Army Men: Green Rogue","PS2","Action","3DO","3DO","T","0.13","2001","39","13","3.8","4"
"Toy Shop","DS","Simulation","Majesco Entertainment","Gameinvest, Seed Stu","E","0.03","2008","31","7","5.4","11"
"Lux-Pain","DS","Adventure","Rising Star Games","Killaware","T","0.04","2008","48","33","6.2","18"
"Need for Speed Carbon","Wii","Racing","Electronic Arts","EA Canada","E10+","1.28","2006","67","21","7.3","26"
"Secret Agent Clank","PS2","Platform","Sony Computer Entertainment","Sanzaru Games","E10+","0.6","2009","61","9","6.7","14"
"God of War III","PS3","Action","Sony Computer Entertainment","SCE Santa Monica","M","4.8","2010","92","101","8.7","2633"
"Dreamcast Collection","X360","Misc","Sega","Sega","T","0.24","2011","53","31","5.2","10"
"Resident Evil: Deadly Silence","DS","Action","Capcom","Capcom","M","0.26","2006","71","41","8.4","36"
"The Beatles: Rock Band","PS3","Misc","MTV Games","Harmonix Music Syste","T","1.12","2009","88","60","8.7","59"
"Tom Clancy's Ghost Recon 2","GC","Shooter","Ubisoft","Ubisoft Shanghai","T","0.07","2005","54","10","1.4","11"
"Disney's Party","GC","Misc","Electronic Arts","Neverland","E","0.05","2002","39","6","7.8","5"
"Napoleon Dynamite: The Game","DS","Puzzle","Crave Entertainment","7 Studios","E10+","0.03","2007","45","9","7.3","4"
"Let's TAP","Wii","Misc","Sega","Prope","E","0.17","2008","70","47","6.6","11"
"Worms: Open Warfare 2","PSP","Strategy","THQ","Team 17, Two Tribes","E10+","0.44","2007","80","26","8.1","25"
"Tom Clancy's Ghost Recon Advanced War","PSP","Shooter","Ubisoft","High Voltage Softwar","T","0.53","2007","61","12","6.4","9"
"GT Pro Series","Wii","Racing","Ubisoft","MTO","E","0.52","2006","41","15","4","21"
"Need For Speed: Undercover","DS","Racing","Electronic Arts","Firebrand Games","E10+","0.23","2008","59","7","6.7","6"
"Rise of Nations","PC","Strategy","Microsoft Game Studios","Big Huge Games","T","0.04","2003","89","30","9","274"
"Pirates of the Caribbean: The Curse o","GBA","Platform","TDK Mediactive","Pocket Studios","E","1.29","2003","49","10","6.2","5"
"The Sims: Unleashed","PC","Simulation","Electronic Arts","Maxis","T","3.76","2002","79","21","8","29"
"Thrillville","PSP","Strategy","Atari","Frontier Development","E10+","0.2","2006","72","13","2.8","39"
"Arc Rise Fantasia","Wii","Role-Playing","Marvelous Interactive","Image Epoch, Imageep","T","0.19","2009","64","26","7.8","43"
"Transformers: Cybertron Adventures","Wii","Action","Activision","Next Level Games","T","0.27","2010","41","15","6.5","8"
"Mobile Suit Gundam: Federation vs. Ze","PS2","Simulation","Atari","Capcom","T","1.14","2001","73","15","8.8","32"
"Fable III","PC","Role-Playing","Microsoft Game Studios","Lionhead Studios","M","0.32","2011","75","39","5.4","555"
"Exit DS","DS","Puzzle","Square Enix","Moss","E","0.1","2008","64","25","6.7","6"
"Batman Begins","GC","Action","Electronic Arts","Eurocom Entertainmen","T","0.15","2005","66","38","7.2","10"
"Jillian Michaels' Fitness Ultimatum 2","Wii","Sports","Deep Silver","3G Studios","E","1.27","2008","30","4","2","23"
"The Chronicles of Riddick: Assault on","X360","Shooter","Atari","Starbreeze","M","0.29","2009","82","67","8.2","73"
"Virtua Tennis 2009","Wii","Sports","Sega","Sumo Digital","E","0.37","2009","73","33","7.7","21"
"Condemned 2: Bloodshot","PS3","Action","Sega","Monolith Productions","M","0.39","2008","82","37","8.1","89"
"Robocalypse","DS","Strategy","Tecmo Koei","Vogster","E10+","0.07","2008","78","15","8.6","18"
"Indigo Prophecy","PC","Adventure","Atari","Quantic Dream","M","0.02","2005","85","41","8.3","375"
"Dance Central 2","X360","Misc","Microsoft Game Studios","Harmonix Music Syste","T","2.04","2011","86","56","8.2","63"
"Far Cry Instincts","XB","Shooter","Ubisoft","Ubisoft Montreal","M","0.57","2005","85","56","5.7","73"
"War of the Monsters","PS2","Fighting","Sony Computer Entertainment","Incognito Inc.","T","0.54","2003","80","41","8.9","68"
"Major League Baseball 2K9","PS3","Sports","Spike","2K Sports","E","0.17","2009","61","19","4","6"
"Chicago Enforcer","XB","Shooter","Kemco","Touchdown Entertainm","M","0.02","2005","33","9","2.8","4"
"Paris-Dakar Rally","PS2","Racing","Acclaim Entertainment","Broadsword Interacti","E","0.15","2001","36","6","3.9","15"
"Rocksmith","PS3","Misc","Ubisoft","Ubisoft","T","1.12","2011","80","27","8.3","52"
"FIFA Soccer 13","PS3","Action","Electronic Arts","Electronic Arts","E","8.16","2012","88","37","6.6","348"
"Dragon Ball Z: Attack of the Saiyans","DS","Role-Playing","Namco Bandai Games","Monolith Soft","E10+","0.36","2009","73","21","7.9","24"
"Army of Two: The 40th Day","PS3","Shooter","Electronic Arts","EA Montreal","M","0.85","2010","74","56","7","88"
"You Don't Know Jack","X360","Misc","THQ","Jellyvision, Iron Ga","T","0.21","2011","82","23","7.9","29"
"LEGO Indiana Jones: The Original Adve","PS2","Action","LucasArts","Traveller's Tales","E10+","1.37","2008","77","12","8.4","16"
"Archer Maclean's Mercury","PSP","Puzzle","Ignition Entertainment","Awesome Studios","E","0.56","2005","75","39","6.6","21"
"Shadow of Destiny","PSP","Adventure","Konami Digital Entertainmen","Konami","T","0.09","2009","54","6","8.2","5"
"The Incredible Hulk","PS3","Action","Sega","Edge of Reality","T","0.26","2008","55","26","6.8","20"
"Game of Thrones","PS3","Role-Playing","Focus Home Interactive","Cyanide, Cyanide Stu","M","0.24","2012","53","14","5.5","81"
"NBA Jam","Wii","Sports","Electronic Arts","EA Canada","E","0.4","2010","79","43","8.5","20"
"Resistance 2","PS3","Shooter","Sony Computer Entertainment","Insomniac Games","M","2.46","2008","87","79","6.1","1889"
"Major League Baseball 2K11","PC","Sports","Take-Two Interactive","Visual Concepts","E","0.08","2011","74","5","5.9","16"
"Call of Duty 3","PS3","Shooter","Activision","Treyarch","T","1.5","2006","80","43","6.9","92"
"Pinball Hall of Fame: The Williams Co","X360","Misc","Crave Entertainment","Farsight Studios","E10+","0.12","2009","83","18","8.3","16"
"Classic NES Series: Castlevania","GBA","Platform","Nintendo","Konami","E","0.33","2004","74","10","8.6","12"
"Pac-Man World 3","PSP","Platform","Namco Bandai Games","Blitz Games","E","0.07","2005","61","9","6","4"
"Guitar Hero: World Tour","PS3","Misc","Activision","Neversoft Entertainm","T","1.92","2008","84","43","7.5","80"
"FIFA Soccer 2005","XB","Sports","Electronic Arts","EA Canada","E","0.97","2004","81","34","8.7","23"
"The Dog Island","Wii","Adventure","Ubisoft","Yuke's","E","0.38","2007","70","4","8.1","12"
"The Sims 2: Pets","GC","Simulation","Electronic Arts","Maxis","T","0.27","2006","66","15","7.3","8"
"Shin Megami Tensei: Devil Survivor 2","DS","Role-Playing","Ghostlight","Atlus","T","0.31","2011","79","21","8.8","45"
"NiGHTS: Journey of Dreams","Wii","Platform","Sega","Sega, Sonic Team","E","0.41","2007","69","47","8.5","55"
"Hot Shots Tennis: Get a Grip","PSP","Sports","Sony Computer Entertainment","Clap Hanz","E","0.21","2010","80","27","8","17"
"Guitar Hero: Aerosmith","Wii","Misc","Activision","Vicarious Visions","T","1.27","2008","73","16","7.2","19"
"Gun Metal","XB","Shooter","Rage Software","Rage Software","T","0.11","2002","63","17","7.6","8"
"Spec Ops: The Line","PS3","Shooter","Take-Two Interactive","Yager","M","0.54","2012","77","27","8","350"
"NHL 12","X360","Sports","Electronic Arts","Electronic Arts","E10+","0.7","2011","86","56","7","72"
"Homie Rollerz","DS","Racing","Destineer","Webfoot Technologies","E","0.07","2008","23","9","2.4","12"
"Guild Wars 2","PC","Action","NCSoft","ArenaNet","T","2.31","2012","90","69","7.9","2954"
"The Bard's Tale","XB","Role-Playing","Ubisoft","InXile Entertainment","T","0.1","2004","75","50","8.8","4"
"Juiced 2: Hot Import Nights","X360","Racing","THQ","Juice Games","T","0.63","2007","68","24","7.6","21"
"Harvest Moon: Another Wonderful Life","GC","Role-Playing","Marvelous Interactive","Marvelous","E","0.24","2004","70","12","9.2","60"
"Draglade","DS","Fighting","505 Games","Dimps Corporation","E10+","0.1","2007","71","23","7.5","4"
"NBA 2K7","PS2","Sports","Take-Two Interactive","Kush Games, Visual C","E","0.78","2006","81","12","8.4","18"
"Tom Clancy's Ghost Recon: Future Sold","PS3","Shooter","Ubisoft","Ubisoft Paris","M","0.95","2012","79","18","6.9","156"
"Metroid Prime 2: Echoes","GC","Shooter","Nintendo","Retro Studios","T","1.33","2004","92","60","8.8","279"
"Red Dead Redemption","X360","Action","Take-Two Interactive","Rockstar San Diego","M","6.32","2010","95","96","9","2316"
"Dead Head Fred","PSP","Action","D3Publisher","Vicious Cycle","M","0.04","2007","75","30","7.3","23"
"Wii Sports","Wii","Sports","Nintendo","Nintendo","E","82.53","2006","76","51","8","322"
"Anubis II","Wii","Platform","Metro 3D","Data Design Interact","E","0.07","2007","19","5","2.7","28"
"Test Drive","XB","Racing","Atari","Pitbull Syndicate","T","0.42","2002","71","16","8.7","10"
"Duke Nukem Forever","X360","Shooter","Take-Two Interactive","Gearbox Software, 3D","M","0.83","2011","49","76","4.4","456"
"Resident Evil 5","X360","Action","Capcom","Capcom","M","3.5","2009","83","91","7.5","523"
"Contra: Shattered Soldier","PS2","Shooter","Konami Digital Entertainmen","KCET","T","0.58","2002","78","33","6.6","25"
"Football Manager Handheld 2010","PSP","Sports","Sega","Sports Interactive","E","0.35","2009","69","10","6.9","7"
"Mario Party DS","DS","Misc","Nintendo","Hudson Soft","E","8.91","2007","72","27","7.8","85"
"Vexx","PS2","Platform","Acclaim Entertainment","Acclaim Studios Aust","T","0.24","2003","63","20","7.6","11"
"X-Men Origins: Wolverine","PSP","Action","Activision","Griptonite Games","T","0.19","2009","60","6","7.5","12"
"Guitar Hero: Aerosmith","X360","Misc","Activision","Neversoft Entertainm","T","1.23","2008","70","59","6.7","48"
"NeverDead","X360","Shooter","Konami Digital Entertainmen","Rebellion","M","0.1","2012","52","46","5.5","65"
"TimeSplitters: Future Perfect","XB","Shooter","Electronic Arts","Free Radical Design","M","0.16","2005","83","54","8.9","35"
"Pirates: The Legend of Black Kat","PS2","Adventure","Electronic Arts","Westwood Studios","T","0.14","2002","72","24","7.9","8"
"Metal Dungeon","XB","Role-Playing","Xicat Interactive","Panther Software","T","0.03","2002","44","14","7.2","5"
"Feel the Magic XY/XX","DS","Puzzle","Sega","Sonic Team","T","0.29","2004","75","55","8.1","18"
"MechAssault 2: Lone Wolf","XB","Simulation","Microsoft Game Studios","Day 1 Studios","T","0.36","2004","81","66","7.5","23"
"Bleach: Soul Resurreccion","PS3","Fighting","Nippon Ichi Software","Racjin","T","0.49","2011","58","34","7.2","46"
"James Bond 007: Blood Stone","PC","Shooter","Activision","Bizarre Creations","T","0.02","2010","63","17","7.1","72"
"Fight Night 2004","PS2","Fighting","Electronic Arts","EA Sports","T","1.48","2004","85","43","9","25"
"LEGO Pirates of the Caribbean: The Vi","PC","Action","Disney Interactive Studios","Traveller's Tales","E10+","0.03","2011","73","11","6.6","17"
"Final Fantasy Crystal Chronicles: Ech","DS","Role-Playing","Square Enix","Square Enix","E10+","0.47","2009","75","37","7.3","21"
"Dead Space 2","PS3","Shooter","Electronic Arts","Visceral Games","M","1.42","2011","89","78","8.4","535"
"Coraline","Wii","Action","D3Publisher","Papaya Studios","E10+","0.05","2009","42","7","5.5","8"
"NASCAR 07","XB","Racing","Electronic Arts","EA Tiburon","E","0.04","2006","72","26","7","4"
"Deadly Creatures","Wii","Action","THQ","Rainbow Studios","T","0.22","2009","72","45","8.8","36"
"Aliens: Infestation","DS","Action","Sega","Gearbox Software, Wa","T","0.16","2011","76","43","8.2","29"
"Gladiator: Sword of Vengeance","XB","Action","Acclaim Entertainment","Acclaim Studios Manc","M","0.05","2003","65","25","7.1","7"
"Happy Feet","Wii","Action","Midway Games","Artificial Mind and","E","0.14","2006","46","11","6.7","16"
"Monster Hunter Freedom 2","PSP","Role-Playing","Capcom","Capcom","T","2.57","2007","72","38","8.7","83"
"Chrono Trigger","DS","Role-Playing","Square Enix","TOSE","E10+","1.34","2008","92","57","8.9","440"
"Whiplash","PS2","Racing","Eidos Interactive","Crystal Dynamics","T","0.13","2003","66","32","8.7","15"
"Teenage Mutant Ninja Turtles 2: Battl","GC","Action","Konami Digital Entertainmen","Konami","T","0.19","2004","49","16","4.6","7"
"Silent Hill: Downpour","X360","Action","Konami Digital Entertainmen","Konami","M","0.32","2012","68","38","7.3","269"
"NCAA Football 2003","PS2","Sports","Electronic Arts","EA Sports","E","1.44","2002","91","19","8.6","27"
"Naruto Shippuden: Ninja Destiny 2","DS","Fighting","Takara Tomy","Takara Tomy","T","0.37","2008","55","12","5.7","11"
"Time Crisis 4","PS3","Shooter","Namco Bandai Games","Nex Entertainment","T","0.83","2007","60","52","7.4","21"
"Call of Duty: Modern Warfare 3","PS3","Shooter","Activision","Infinity Ward, Sledg","M","13.32","2011","88","39","3.2","5234"
"G-Force","PS3","Action","Disney Interactive Studios","Eurocom Entertainmen","E10+","0.22","2009","68","22","7.6","7"
"Dead Space Extraction","Wii","Shooter","Electronic Arts","Eurocom Entertainmen","M","0.47","2009","82","76","8.1","82"
"True Swing Golf","DS","Sports","Nintendo","T&E Soft","E","0.16","2005","66","32","7.7","11"
"Ape Escape Academy","PSP","Misc","Sony Computer Entertainment","Shift","E10+","0.33","2004","51","48","5.8","4"
"Men of War: Vietnam","PC","Strategy","Unknown","Best Way","T","0.04","2011","68","19","4.9","35"
"MorphX","X360","Shooter","505 Games","Buka Entertainment,","M","0.05","2010","33","4","6.6","15"
"Bionic Commando","X360","Platform","Capcom","GRIN","M","0.28","2009","70","65","7.3","87"
"The Incredible Hulk","X360","Action","Sega","Edge of Reality","T","0.26","2008","55","42","6.4","24"
"Ribbit King","PS2","Sports","Atari","Bandai","E","0.09","2003","58","10","6.5","4"
"MotoGP 08","X360","Racing","Capcom","Milestone S.r.l","E","0.35","2008","68","20","5.6","12"
"Bulletstorm","PC","Shooter","Electronic Arts","Epic Games, People C","M","0.16","2011","82","34","7.7","768"
"Harry Potter: Quidditch World Cup","PS2","Sports","Electronic Arts","Magic Pockets","E","0.9","2003","68","21","6.6","27"
"EverBlue 2","PS2","Adventure","Capcom","Arika","E","0.03","2002","59","21","7.5","4"
"Endgame","PS2","Shooter","Empire Interactive","Cunning Developments","T","0.08","2002","57","12","6.8","5"
"SSX 3","PS2","Sports","Electronic Arts","EA Canada","E","1.67","2003","93","41","9.1","125"
"The Godfather II","X360","Action","Electronic Arts","EA Redwood Shores","M","0.79","2009","65","72","6.9","60"
"Hitman: Absolution","PS3","Action","Square Enix","Io Interactive","M","2.14","2012","83","30","7.5","511"
"Phantom Brave: We Meet Again","Wii","Role-Playing","Nippon Ichi Software","Nippon Ichi Software","T","0.13","2009","76","12","7.1","15"
"Mortal Kombat: Deadly Alliance","GBA","Fighting","Midway Games","Criterion Games","M","0.01","2002","81","12","8.8","9"
"TOCA Race Driver 3","XB","Racing","Codemasters","Codemasters","E10+","0.03","2006","84","25","8","6"
"Bee Movie Game","Wii","Action","Activision","Smart Bomb Interacti","E","0.33","2007","62","16","7.6","7"
"Warhammer 40,000: Space Marine","PC","Shooter","THQ","Relic","M","0.2","2011","74","34","7.4","596"
"Celebrity Sports Showdown","Wii","Sports","Electronic Arts","EA Canada","E","0.45","2008","50","12","4.6","18"
"Panzer Dragoon Orta","XB","Shooter","Sega","Smilebit","T","0.26","2002","90","41","8.5","64"
"Wakeboarding Unleashed Featuring Shau","XB","Sports","Activision","Shaba Games","E","0.05","2003","80","23","8.8","9"
"Blur","PC","Racing","Activision","Bizarre Creations","E10+","0.06","2010","81","24","7.4","177"
"Wild ARMs 5","PS2","Role-Playing","505 Games","Media Vision","T","0.28","2006","71","26","7.5","22"
"NBA 2K6","PS2","Action","Take-Two Interactive","Visual Concepts","E","0.88","2005","84","23","8.3","13"
"Meteos","DS","Puzzle","Nintendo","Q Entertainment","E","0.23","2005","88","49","7.5","164"
"Need for Speed: Most Wanted","PC","Racing","Electronic Arts","Black Box","T","0.29","2005","82","19","8.5","525"
"The Sky Crawlers: Innocent Aces","Wii","Simulation","Namco Bandai Games","Access Games","T","0.12","2008","74","42","7.9","13"
"Cossacks: European Wars","PC","Strategy","Strategy First","GSC Game World","T","0.03","2001","74","16","8.6","60"
"Rockstar Games presents Table Tennis","Wii","Sports","Take-Two Interactive","Rockstar San Diego","E","1.26","2007","68","36","5.8","21"
"FIFA Soccer 11","X360","Sports","Electronic Arts","EA Sports","E","3.52","2010","88","66","7.5","155"
"The BIGS 2","X360","Sports","Take-Two Interactive","Blue Castle Games","E10+","0.21","2009","76","31","6.2","35"
"Spider-Man 2","GC","Action","Activision","Treyarch","T","0.84","2004","80","41","8.8","30"
"My Weight Loss Coach","DS","Sports","Ubisoft","Ubisoft Montreal","E","0.95","2008","63","4","7.6","7"
"Jenga World Tour","Wii","Misc","Atari","Atomic Planet Entert","E","0.05","2007","26","14","2.8","11"
"NBA 09: The Inside","PSP","Sports","Sony Computer Entertainment","SCEA San Diego Studi","E","0.17","2008","79","9","7.4","7"
"Shrek: Forever After","X360","Platform","Activision","Xpec","E10+","0.11","2010","62","22","6.2","9"
"Football Manager Handheld 2011","PSP","Sports","Sega","Sports Interactive","E","0.41","2010","77","5","7.7","6"
"The Saboteur","PS3","Action","Electronic Arts","Pandemic Studios","M","0.48","2009","72","54","8.1","118"
"Futurama","XB","Platform","SCi","UDS","T","0.05","2003","58","21","6.9","14"
"Mega Man ZX","DS","Platform","Capcom","Inti Creates","E","0.28","2006","76","37","8.3","32"
"FIFA Street 2","DS","Sports","Electronic Arts","Exient Entertainment","E","0.04","2006","43","5","7.5","4"
"Spider-Man 3","Wii","Platform","Activision","Vicarious Visions","T","0.47","2007","53","39","5.3","29"
"R.U.S.E.","PS3","Strategy","Ubisoft","Eugen Systems","T","0.5","2010","76","37","7.3","50"
"Backyard Wrestling: Don't Try This at","XB","Fighting","Eidos Interactive","Paradox Development","M","0.17","2003","50","15","5","7"
"Bee Movie Game","PS2","Action","Activision","Beenox","E","0.1","2007","65","11","7.5","4"
"The Simpsons: Road Rage","GC","Racing","Electronic Arts","Radical Entertainmen","T","0.24","2001","67","16","7.7","12"
"NHL 2003","XB","Sports","Electronic Arts","EA Sports","E","0.21","2002","80","12","7.9","12"
"Super Dragon Ball Z","PS2","Fighting","Atari","Crafts & Meister","T","0.37","2006","72","31","5.8","21"
"Tomb Raider: Anniversary","X360","Action","Eidos Interactive","Crystal Dynamics","T","0.39","2007","77","33","8.3","39"
"MySims Kingdom","Wii","Simulation","Electronic Arts","EA Redwood Shores","E","1.51","2008","76","19","8.1","24"
"FlatOut: Ultimate Carnage","X360","Racing","Empire Interactive","Bugbear","T","0.11","2007","80","44","8.8","66"
"Madden NFL 12","X360","Sports","Electronic Arts","EA Tiburon","E","2.69","2011","78","55","5.9","94"
"The Sims 2","PSP","Simulation","Electronic Arts","Maxis","T","1.37","2005","65","17","6.9","32"
"Vampire Rain","X360","Action","Microsoft Game Studios","Artoon","M","0.21","2007","38","45","2.9","44"
"The Legend of Zelda: Spirit Tracks","DS","Action","Nintendo","Nintendo","E10+","3.31","2009","87","75","7.8","228"
"Rayman Origins","PS3","Platform","Ubisoft","UBlart Montpellier","E10+","1","2011","87","43","8.4","238"
"George of the Jungle and the Search f","Wii","Platform","Ignition Entertainment","Crave","E","0.02","2008","35","10","4","6"
"The Legend of Heroes III: Song of the","PSP","Role-Playing","Namco Bandai Games","Microvision","E10+","0.03","2006","58","17","6.1","7"
"Colin McRae Rally 2005","PC","Racing","Codemasters","Codemasters","E","0.02","2004","83","11","7.1","50"
"Dragon Quest VI: Realms of Revelation","DS","Role-Playing","Nintendo","ArtePiazza","T","1.73","2010","78","41","8.1","31"
"Battlefield 3","PC","Shooter","Electronic Arts","EA DICE","M","2.78","2011","89","61","7.5","4926"
"Def Jam: Fight for NY","PS2","Fighting","Electronic Arts","Aki Corp.","M","1.76","2004","83","46","8.9","73"
"Total War: Shogun 2","PC","Strategy","Sega","Creative Assembly","T","0.6","2011","90","62","8.3","1180"
"Ridge Racer Unbounded","X360","Racing","Namco Bandai Games","Bugbear","T","0.11","2012","71","59","7.7","56"
".hack//Infection Part 1","PS2","Role-Playing","Atari","CyberConnect2","T","1.27","2002","75","35","8.5","60"
"F1 2011","PS3","Racing","Codemasters","Codemasters","E","1.2","2011","82","36","7.1","55"
"Madden NFL 2003","GC","Sports","Electronic Arts","EA Sports","E","0.43","2002","92","13","8.5","17"
"MX vs. ATV Reflex","PS3","Racing","THQ","Rainbow Studios","E","0.9","2009","74","44","7.4","10"
"Ultimate Spider-Man","GBA","Action","Activision","Vicarious Visions","E10+","0.3","2005","62","4","7.3","12"
"Sonic Riders","GC","Racing","Sega","Sonic Team","E","0.92","2006","59","32","8","46"
"Sega GT 2002","XB","Racing","Sega","Wow Entertainment","E","0.19","2002","82","24","8.2","24"
"Hitman: Blood Money","PS2","Action","Eidos Interactive","Io Interactive","M","0.5","2006","83","36","8.4","104"
"The Eye of Judgment","PS3","Misc","Sony Computer Entertainment","SCEJ","T","0.33","2007","75","43","8.2","51"
"Calling","Wii","Adventure","Konami Digital Entertainmen","Hudson Entertainment","T","0.11","2009","49","28","6.7","16"
"Valkyrie Profile: Covenant of the Plu","DS","Role-Playing","Square Enix","Tri-Ace","T","0.42","2008","74","35","6.8","12"
"Call of Duty: Black Ops","PS3","Shooter","Activision","Treyarch","M","12.63","2010","88","58","6.4","1094"
"James Bond 007: Blood Stone","X360","Shooter","Activision","Bizarre Creations","T","0.47","2010","62","66","7.1","63"
"The Simpsons Game","Wii","Action","Electronic Arts","Electronic Arts, Reb","T","1.01","2007","64","19","6.1","38"
"Ghostbusters: The Video Game","PSP","Action","Atari","Red Fly Studio","E10+","0.18","2009","54","13","4.7","13"
"NBA 07","PS2","Sports","Sony Computer Entertainment","SCEA","E","0.02","2006","63","24","6.8","5"
"Final Fantasy Tactics Advance","GBA","Role-Playing","SquareSoft","Square Enix","E","2.13","2003","87","44","7.8","212"
"SNK vs. Capcom Card Fighters DS","DS","Strategy","Ignition Entertainment","SNK Playmore","T","0.1","2006","48","19","4.8","6"
"Need for Speed: Most Wanted","XB","Racing","Electronic Arts","EA Canada","T","1.04","2005","83","32","8.8","29"
"NHL Hitz Pro","XB","Sports","Midway Games","Next Level Games","E","0.07","2003","81","23","8.8","12"
"Links 2004","XB","Sports","Microsoft Game Studios","Indie Built","E","0.29","2003","80","41","9","9"
"Tiger Woods PGA Tour 12: The Masters","PS3","Sports","Electronic Arts","Electronic Arts","E","0.89","2011","80","41","7.3","17"
"DiRT 3","X360","Racing","Codemasters","Codemasters","T","0.72","2011","87","81","7.1","166"
"Colin McRae Rally 3","PS2","Racing","Codemasters","Codemasters","E","1.4","2002","86","25","7.7","24"
"Dragon Ball Z: Ultimate Tenkaichi","PS3","Fighting","Namco Bandai Games","Spike","T","0.61","2011","58","26","5.4","77"
"3D Dot Game Heroes","PS3","Role-Playing","SouthPeak Games","Silicon Studio","E10+","0.57","2009","77","66","8","96"
"50 Cent: Blood on the Sand","X360","Shooter","THQ","Swordfish Studios","M","0.21","2009","71","54","6.4","64"
"Pac-Man World 2","GC","Action","Nintendo","Namco","E","0.37","2002","74","18","8.3","19"
"Brain Challenge","DS","Misc","Ubisoft","Ubisoft","E","0.45","2008","68","7","7","4"
"Soldier of Fortune: Gold Edition","PS2","Shooter","Codemasters","Pipe Dream Interacti","M","0.56","2001","59","14","6.8","17"
"Captain America: Super Soldier","X360","Action","Sega","Next Level Games","T","0.17","2011","60","48","6.4","37"
"Virtua Tennis 3","PSP","Sports","Sega","Sumo Digital","E","0.05","2007","79","17","7.7","13"
"Samurai Warriors: State of War","PSP","Action","Tecmo Koei","Omega Force","T","0.18","2005","64","30","6.4","8"
"The Chronicles of Narnia: The Lion, T","XB","Action","Disney Interactive Studios","Traveller's Tales","T","0.2","2005","72","31","6","6"
